n;random;almost_sort;sorted_rev
37700;11910;8578;8982
37800;11901;8627;8920
37900;12020;8627;9015
38000;12014;8684;9148
38100;12828;8917;9147
38200;12291;8814;9437
38300;12406;8849;9384
38400;12475;8928;9307
38500;12337;9265;9455
38600;12533;9111;9483
38700;12658;8950;9554
38800;12527;8962;9410
38900;12364;9005;9331
39000;12404;9110;9414
39100;12634;9081;9476
39200;12566;9048;9480
39300;12584;9187;9601
39400;12657;9181;9548
39500;12830;9310;9701
39600;12837;9385;9665
39700;12747;9222;9643
39800;12893;9207;9734
39900;12872;9247;9497
40000;12859;9190;9779
40100;12907;9278;9572
40200;13049;9429;9731
40300;13057;9297;9661
40400;12964;9248;9778
40500;12979;9446;9786
40600;13071;9390;9824
40700;13116;9387;9820
40800;12987;9268;9625
40900;12905;9261;9690
41000;12999;9367;9700
41100;12950;9303;9723
41200;12957;9328;9725
41300;13037;9381;9931
41400;13350;9482;9838
41500;13077;9391;9968
41600;13539;9573;9975
41700;13290;9515;9928
41800;14061;9796;10652
41900;14384;10116;10605
42000;13513;9694;10236
42100;13571;9763;10186
42200;13572;9684;10193
42300;13705;9795;10155
42400;13461;9684;10088
42500;13547;9733;10219
42600;13634;10413;10985
42700;14449;10387;11091
42800;14172;9911;10393
42900;13873;9865;10378
43000;13711;9850;10200
43100;13703;9816;10191
43200;13721;9947;10358
43300;13725;9907;10397
43400;13882;9860;10412
43500;13814;9778;10511
43600;13849;9977;10421
43700;13890;9980;10431
43800;13876;9940;10492
43900;13912;10026;10451
44000;14047;10039;10463
44100;14054;10009;10573
44200;14011;10094;10902
44300;14287;10118;10705
44400;14085;10086;10969
44500;14440;10199;10798
44600;14537;10352;10695
44700;14339;10261;10821
44800;14338;10408;10803
44900;14359;10335;10833
45000;14302;10148;10664
45100;14230;10162;10700
45200;14233;10221;10705
45300;14296;10232;10758
45400;14360;10321;10784
45500;14513;10275;10805
45600;14415;10306;10812
45700;14551;10511;11063
45800;14483;10328;10818
45900;14498;10453;10891
46000;14778;10463;11142
46100;14661;10531;10957
46200;14618;10439;10938
46300;14668;10474;10981
46400;14668;10483;10965
46500;14645;10477;10976
46600;14684;10492;11052
46700;14896;10550;11191
46800;14818;10644;11287
46900;14896;10598;11173
47000;14887;10652;11233
47100;14983;10683;11164
47200;14985;10729;11351
47300;15043;10709;11478
47400;15106;10778;11344
47500;15080;10792;11356
47600;15183;10798;11331
47700;15178;10807;11354
47800;15110;10855;11398
47900;15275;10784;11354
48000;15163;10826;11580
48100;15307;10823;11487
48200;15299;11020;11401
48300;15331;11006;11471
48400;15329;10937;11476
48500;15328;10856;11919
48600;15573;11044;11969
48700;15506;10959;11716
48800;15403;11431;11614
48900;15437;11084;11752
49000;15936;11294;11906
49100;15710;11179;11775
49200;15694;11246;11785
49300;15838;11163;11802
49400;15785;11311;11828
49500;15817;11312;11848
49600;15793;11268;11923
49700;15864;11353;11964
49800;16023;11420;12019
49900;16005;11448;11948
50000;16113;11437;12004
50100;16238;11490;12163
50200;16653;11742;12264
50300;16384;11599;12378
50400;16045;11411;12196
50500;16208;11424;12390
50600;16216;11585;12194
50700;16679;11535;12597
50800;16635;11577;12422
50900;16618;11654;12251
51000;16256;11467;12117
51100;16196;11540;12303
51200;16473;11515;12292
51300;16336;11564;12247
51400;16267;11573;12305
51500;16287;11739;12237
51600;16376;11908;13231
51700;17584;12221;13033
51800;17234;12330;12544
51900;16777;11691;12578
52000;16820;11885;12631
52100;16853;11936;12598
52200;16695;11734;12605
52300;16659;11958;12509
52400;16697;11857;12666
52500;16877;11965;12764
52600;16806;11919;12689
52700;16764;11880;12867
52800;16849;12039;13175
52900;16770;11990;12679
53000;16980;12032;12845
53100;17074;12151;12779
53200;17686;12545;13063
53300;17218;12181;13104
53400;17398;12155;13161
53500;17188;12420;12837
53600;17372;12256;13055
53700;17073;12104;13181
53800;17330;12150;13017
53900;18480;16809;14089
54000;18397;12525;13153
54100;17625;12220;13333
54200;17737;12740;13701
54300;17795;12728;13600
54400;17748;12391;13434
54500;17775;12628;13375
54600;18224;12642;13314
54700;17846;12810;13235
54800;17884;12552;13760
54900;17546;12518;13654
55000;17895;12937;13332
55100;18138;12513;13839
55200;17832;12612;13766
55300;18023;12792;13278
55400;17744;12498;13300
55500;18008;12740;13777
55600;17927;12649;13438
55700;17809;12511;13626
55800;17990;12741;13652
55900;18383;12686;13535
56000;18149;13141;13835
56100;18235;12729;13540
56200;17917;12527;13707
56300;18452;12888;13694
56400;18115;12611;13569
56500;18077;12802;13611
56600;18452;12670;13538
56700;18202;12687;13629
56800;18327;12740;13748
56900;17966;12819;13933
57000;18091;12879;13769
57100;18291;12959;13841
57200;18145;13130;13904
57300;19019;13186;13772
57400;18669;12852;13908
57500;18470;12883;13898
57600;18539;13134;13807
57700;18676;13633;14301
57800;18525;13051;14123
57900;18400;12976;14000
58000;18424;13043;14379
58100;18413;13296;14040
58200;18813;13096;14081
58300;18852;13306;14599
58400;19045;13231;14269
58500;19105;13515;14384
58600;19217;13496;14444
58700;19020;13397;14242
58800;18948;13243;14181
58900;18962;13294;14276
59000;18799;13489;14338
59100;19128;13337;14497
59200;19425;13423;14310
59300;19225;13690;15044
59400;20291;13680;14403
59500;19174;13359;14482
59600;19196;13486;14467
59700;19035;13707;14388
59800;19384;13836;15015
59900;19375;13590;14586
60000;19495;13557;14548
60100;19238;13612;14785
60200;19447;13715;14817
60300;19580;13792;14719
60400;19593;13456;14715
60500;19647;13552;14911
60600;19486;13653;14827
60700;19728;13815;14700
60800;19668;13625;14780
60900;19512;13786;14694
61000;19445;13738;14690
61100;19524;13841;14636
61200;19604;13735;14807
61300;19689;13779;14678
61400;19585;13703;14860
61500;19531;13709;14724
61600;19707;13856;14815
61700;19694;13851;15056
61800;19893;13953;14911
61900;19791;13965;15086
62000;19880;14100;15021
62100;19952;14091;15062
62200;20169;14236;15169
62300;20162;14294;15224
62400;20387;14381;15191
62500;20290;14491;19109
62600;21004;14578;15922
62700;20511;14589;15557
62800;20641;14680;15446
62900;20480;14591;15450
63000;20561;14681;15519
63100;20554;14723;15530
63200;20601;14716;15583
63300;20643;14792;15605
63400;20667;14818;15707
63500;20748;14929;15716
63600;20814;15067;15932
63700;21081;15139;16501
63800;21726;15615;16259
63900;21404;15439;16170
64000;21232;15416;16132
64100;21290;15458;16184
64200;21452;15540;16679
64300;21644;15598;16248
64400;21491;15556;16211
64500;21471;15571;16259
64600;21552;15661;16323
64700;21651;15754;16405
64800;21808;15897;16430
64900;21761;15840;16504
65000;21973;15948;16625
65100;21720;16047;16535
65200;21978;16065;16614
65300;21959;16142;17257
65400;22201;16217;16806
