n	random	almost_sort	sorted_rev
51700	24287	19922	20199	
51800	24254	20033	20316	
51900	24321	20279	20459	
52000	24449	20062	20553	
52100	24487	20162	20368	
52200	24471	20203	20412	
52300	24526	20175	20433	
52400	24588	20300	20527	
52500	24565	20213	20530	
52600	24650	20386	20634	
52700	24875	20580	20659	
52800	24744	20394	20670	
52900	24718	20501	20734	
53000	24869	20570	20833	
53100	24894	20523	20814	
53200	24864	20610	20763	
53300	25181	20705	20934	
53400	24996	20822	21093	
53500	25183	20749	21071	
53600	25110	20706	20939	
53700	25118	20903	20996	
53800	25160	20856	21085	
53900	25247	20830	21110	
54000	25317	20951	21095	
54100	25370	20981	21311	
54200	25638	20998	21289	
54300	25378	20992	21203	
54400	25651	21108	21358	
54500	25531	21074	21272	
54600	25697	21144	21445	
54700	25710	21185	21417	
54800	25672	21109	21478	
54900	25840	21743	22376	
55000	28072	23299	22298	
55100	26682	22027	22353	
55200	26801	22175	22473	
55300	26884	22259	22508	
55400	26944	22288	22566	
55500	26978	22273	22467	
55600	27115	22392	22643	
55700	27112	21921	21903	
55800	26193	21603	21948	
55900	26173	21626	21999	
56000	26321	21807	22045	
56100	26329	21784	22052	
56200	26394	21785	22067	
56300	26692	22089	22078	
56400	26378	21874	22038	
56500	26527	21844	22093	
56600	26502	21970	22265	
56700	26568	21940	22301	
56800	26616	22070	22372	
56900	26732	22171	22421	
57000	26996	22247	22444	
57100	26885	22199	22416	
57200	26983	22203	22594	
57300	27020	22234	22605	
57400	27059	22391	22700	
57500	27132	22378	22629	
57600	26972	22379	22806	
57700	27323	22476	22646	
57800	27250	22369	22726	
57900	27197	22518	22731	
58000	27182	22524	22833	
58100	27359	22578	22879	
58200	27360	22619	22978	
58300	27334	22662	23274	
58400	27509	22644	23057	
58500	27521	22808	23127	
58600	27457	22897	23143	
58700	27630	22772	23140	
58800	27645	22736	23195	
58900	27783	22863	23155	
59000	27778	23146	23476	
59100	27851	22897	23338	
59200	27863	23077	23369	
59300	27803	22993	23341	
59400	27926	23153	23464	
59500	28061	23087	23394	
59600	28001	23116	23579	
59700	28344	23344	23709	
59800	28159	23325	23628	
59900	28255	23427	23726	
60000	28266	23356	23722	
60100	28434	23392	23828	
60200	28248	23399	23852	
60300	28364	23681	24056	
60400	28632	23473	23824	
60500	28435	23612	23944	
60600	28568	23688	24004	
60700	28492	23609	24036	
60800	28661	23700	24018	
60900	28644	23791	24077	
61000	29040	23790	24016	
61100	28866	23857	24043	
61200	28873	23865	24188	
61300	28856	23940	24285	
61400	29063	23985	24280	
61500	28925	24006	24329	
61600	29094	24291	24529	
61700	29135	24158	24297	
61800	29159	24169	24436	
61900	29243	24121	24362	
62000	29801	25695	26130	
62100	31078	25824	26766	
62200	30310	26652	25766	
62300	30763	25625	25983	
62400	29495	24346	24682	
62500	29470	24447	24762	
62600	29584	24514	24770	
62700	29565	24443	24785	
62800	29676	24555	24986	
62900	29960	24652	24893	
63000	29817	24582	24874	
63100	29721	24688	24970	
63200	29862	24685	24982	
63300	29904	24717	25021	
63400	30051	24881	25154	
63500	30306	24993	25217	
63600	30173	24950	25262	
63700	30179	25000	25329	
63800	30260	25023	25345	
63900	30352	25044	25258	
64000	30254	24985	25320	
64100	30520	25285	25418	
64200	30440	25166	25369	
64300	30362	25136	25439	
64400	30401	25227	25514	
64500	30422	25232	25550	
64600	30580	25847	25637	
64700	30792	25491	25612	
64800	30674	25431	25683	
64900	30674	25419	25746	
65000	30758	25492	25816	
65100	30914	25518	25817	
65200	30857	25489	25807	
65300	30919	25811	26033	
65400	30953	25677	25870	
65500	30968	25682	26018	
65600	31090	25796	25979	
65700	31148	25839	26030	
65800	31211	25836	26093	
65900	31449	25980	26157	
66000	31352	26001	26180	
66100	31348	25955	26300	
66200	31353	26036	26412	
66300	31530	26161	26379	
66400	31523	26101	26455	
66500	31987	26355	26452	
66600	31721	26284	26533	
66700	31697	26304	26615	
66800	31755	26339	26585	
66900	31731	26468	26786	
67000	31904	26520	26684	
67100	32131	26524	26836	
67200	31955	26586	26789	
67300	32056	26578	26854	
67400	32119	26664	26984	
67500	32149	26772	26885	
67600	32189	26689	27224	
67700	32426	26777	27079	
67800	32281	26820	27050	
67900	32621	26945	27108	
68000	32425	26842	27180	
68100	32473	27209	27211	
68200	32477	27247	27272	
68300	32579	27031	27219	
68400	32560	27155	27284	
68500	32596	27126	27414	
68600	32686	27146	27426	
68700	32718	27110	27521	
68800	33089	27406	27495	
68900	32865	27286	27508	
69000	32911	27252	27576	
69100	32959	27336	27589	
69200	32920	27518	27689	
69300	33128	27498	27858	
69400	33152	27431	27689	
69500	33259	27682	27920	
69600	33356	27662	27903	
69700	33399	27730	27754	
69800	33167	27557	27872	
69900	33404	27973	28027	
70000	33379	27824	27958	
70100	33356	27717	28001	
70200	33441	27726	28036	
70300	33515	27815	28146	
