n	random	almost_sort	sorted_rev	
93300	31614	22849	23890	
93400	31584	22633	23819	
93500	31518	22587	23810	
93600	31592	22932	23880	
93700	31745	22948	23951	
93800	31762	23004	23935	
93900	31845	22875	24122	
94000	31946	22829	24024	
94100	31701	23058	23996	
94200	31691	23060	24108	
94300	31690	22829	24300	
94400	31743	22942	24101	
94500	31911	22840	24842	
94600	31897	23012	24099	
94700	31906	22957	24051	
94800	31847	22877	24184	
94900	31808	23075	24135	
95000	31929	23085	24139	
95100	31959	23099	24161	
95200	32384	23035	24219	
95300	32110	22983	24279	
95400	32003	23185	24345	
95500	32105	23081	24301	
95600	32021	23074	24317	
95700	32090	23080	24364	
95800	32529	23249	24432	
95900	32232	23226	24366	
96000	32275	23208	24424	
96100	32300	23231	24459	
96200	32332	23300	24439	
96300	32297	23341	24495	
96400	32571	23607	24553	
96500	32480	23400	24531	
96600	32473	23365	24570	
96700	32457	23328	24572	
96800	32966	23320	24577	
96900	32627	23433	24692	
97000	32737	23595	24829	
97100	33815	24254	26655	
97200	32630	23454	24757	
97300	32802	23510	24769	
97400	32854	23671	24760	
97500	32764	23546	24877	
97600	32982	23589	24805	
97700	32869	23565	24846	
97800	32908	23605	24878	
97900	32802	23513	24942	
98000	32969	23809	24927	
98100	32922	23606	25114	
98200	33006	24099	24989	
98300	33100	23784	25009	
98400	33165	23754	25054	
98500	33123	23815	25259	
98600	33054	24468	25942	
98700	34184	24682	25926	
98800	34276	24732	25961	
98900	34310	23948	25213	
99000	33265	23979	25191	
99100	33301	23846	25253	
99200	33330	23903	25295	
99300	33416	24022	25333	
99400	33774	24090	25344	
99500	33486	24009	25381	
99600	33552	24180	25558	
99700	33639	24251	25464	
99800	33699	24259	25554	
99900	33641	24311	25671	
100000	33903	24335	25603	
